mac,temperature1,temperature2,uptime,cpu1,cpu2,cpu3,cpu4,cpu5,cpu_load_1m,cpu_load_5m,cpu_load_15m,mem_buffered,mem_cached,mem_free,mem_total,num_ifaces,sanity,health_mem
903cb3bb245d,48,48,1756806,1,2,1,1,1,0.005859,0.003906,0,9318400,26902528,799158272,973131776,1,100,18
903cb3bb245d,48,49,1756866,1,2,1,1,1,0,0,0,9318400,26902528,799404032,973131776,1,100,18
903cb3bb245d,48,48,1756926,1,2,1,1,1,0,0,0,9318400,26902528,799793152,973131776,1,100,18
903cb3bb245d,48,49,1756986,1,2,1,1,1,0,0,0,9318400,26902528,799420416,973131776,1,100,18
903cb3bb245d,48,48,1757046,1,2,1,1,1,0,0,0,9318400,26902528,798912512,973131776,1,100,18
903cb3bb245d,48,49,1757106,1,3,1,1,1,0,0,0,9318400,26902528,799453184,973131776,1,100,18
903cb3bb245d,48,49,1757166,1,2,1,1,1,0.080079,0.016602,0.005371,9318400,26902528,799150080,973131776,1,100,18
903cb3bb245d,48,49,1757226,1,2,1,1,1,0.027344,0.010742,0,9318400,26902528,799277056,973131776,1,100,18
903cb3bb245d,48,49,1757287,1,2,1,1,1,0.007813,0.004883,0,9318400,26902528,799318016,973131776,1,100,18
903cb3bb245d,48,49,1757347,1,3,1,1,1,0.000977,0,0,9318400,26902528,798879744,973131776,1,100,18
903cb3bb245d,48,49,1757407,1,3,1,1,1,0,0,0,9318400,26902528,799080448,973131776,1,100,18
903cb3bb245d,48,49,1757467,1,3,1,1,1,0,0,0,9318400,26902528,799039488,973131776,1,100,18
903cb3bb245d,48,48,1757527,1,3,1,1,1,0.066896,0.015625,0.004395,9318400,26902528,799268864,973131776,1,100,18
903cb3bb245d,48,49,1757587,1,3,1,1,1,0.022461,0.009766,0,9318400,26902528,798912512,973131776,1,100,18
903cb3bb245d,48,48,1757647,1,4,1,1,1,0.055665,0.020996,0.002441,9318400,26902528,798896128,973131776,1,100,18
903cb3bb245d,48,49,1757707,1,2,1,1,1,0.018555,0.015137,0,9318400,26902528,799199232,973131776,1,100,18
903cb3bb245d,48,49,1757767,1,1,1,1,1,0.004883,0.009277,0,9318400,26902528,799199232,973131776,1,100,18
903cb3bb245d,48,49,1757827,1,2,1,1,1,0,0.003418,0,9318400,26902528,799232000,973131776,1,100,18
903cb3bb245d,48,49,1757887,1,2,1,1,1,0,0,0,9318400,26902528,799612928,973131776,1,100,18
903cb3bb245d,48,49,1757947,1,2,1,1,1,0,0,0,9318400,26902528,799170560,973131776,1,100,18
903cb3bb245d,48,48,1758007,1,2,1,0,1,0,0,0,9318400,26902528,799121408,973131776,1,100,18
903cb3bb245d,48,49,1758068,1,2,1,1,1,0.082033,0.027344,0.006348,9318400,26902528,799141888,973131776,1,100,18
903cb3bb245d,48,49,1758128,1,2,1,1,1,0.027832,0.021485,0.000488,9318400,26902528,799453184,973131776,1,100,18
903cb3bb245d,48,49,1758188,1,3,1,1,1,0.008301,0.015625,0,9318400,26902528,799453184,973131776,1,100,18
903cb3bb245d,48,49,1758248,1,2,1,1,1,0.000977,0.009766,0,9318400,26902528,799358976,973131776,1,100,18
903cb3bb245d,48,49,1758308,1,2,1,1,1,0,0.003906,0,9318400,26902528,799326208,973131776,1,100,18
903cb3bb245d,48,49,1758368,1,2,1,1,1,0,0,0,9318400,26902528,799428608,973131776,1,100,18
903cb3bb245d,48,49,1758428,1,2,1,1,1,0,0,0,9318400,26902528,799064064,973131776,1,100,18
903cb3bb245d,48,49,1758548,1,2,1,1,1,0.086427,0.023926,0.004883,9318400,26902528,799031296,973131776,1,100,18
903cb3bb245d,48,49,1758608,1,2,1,1,1,0.029786,0.018067,0,9318400,26902528,799260672,973131776,1,100,18
903cb3bb245d,48,49,1758668,1,3,1,1,1,0.125002,0.043946,0.007324,9318400,26902528,799485952,973131776,1,100,18
903cb3bb245d,48,49,1758728,1,2,1,1,1,0.043946,0.032227,0.001465,9318400,26902528,799182848,973131776,1,100,18
903cb3bb245d,48,49,1758788,1,1,1,1,1,0.01416,0.024903,0,9318400,26902528,799072256,973131776,1,100,18
903cb3bb245d,48,49,1758848,1,2,1,1,1,0.003418,0.019043,0,9318400,26902528,799485952,973131776,1,100,18
903cb3bb245d,48,49,1758908,1,2,1,1,1,0.043946,0.027832,0.001953,9318400,26902528,799608832,973131776,1,100,18
